id,block_id,trial_idx,image_id,response,rt,participant_id
3,3,1,5787,91,4160,6
6,3,2,4524,44,6684,6
9,3,3,978,16,5370,6
12,3,4,1251,6,4919,6
15,3,5,2766,16,3540,6
18,3,6,3345,44,5922,6
21,3,7,3795,1,3569,6
24,3,8,831,67,6901,6
27,3,9,4245,0,3101,6
30,3,10,3423,89,4103,6
33,3,11,3456,92,4554,6
36,3,12,3711,100,3311,6
39,3,13,3201,100,2555,6
42,3,14,636,45,4823,6
45,3,15,1371,43,4278,6
48,3,16,828,57,5082,6
51,3,17,2685,14,2843,6
54,3,18,3276,74,4188,6
57,3,19,315,16,2267,6
60,3,20,3000,88,4253,6
63,3,21,3153,100,2441,6
66,3,22,2514,5,1991,6
69,3,23,1809,90,4638,6
72,3,24,2211,4,3096,6
75,3,25,2469,6,2681,6
78,3,26,2205,4,2957,6
81,3,27,3681,100,2850,6
84,3,28,3093,74,3065,6
87,3,29,1248,5,2195,6
90,3,30,1668,100,3479,6
93,3,31,4197,0,1781,6
96,3,32,2973,76,2639,6
99,3,33,2247,4,3251,6
102,3,34,2307,59,3401,6
105,3,35,1278,3,2519,6
108,3,36,5169,73,5132,6
111,3,37,5763,63,2639,6
114,3,38,1140,44,2688,6
117,3,39,4041,11,2915,6
120,3,40,1257,2,2171,6
123,3,41,5334,60,3793,6
126,3,42,4731,76,6577,6
129,3,43,5769,62,1877,6
132,3,44,5835,43,2448,6
135,3,45,3609,63,1901,6
138,3,46,4971,60,2903,6
141,3,47,2997,61,2771,6
144,3,48,438,31,2094,6
147,3,49,1491,41,3899,6
150,3,50,4386,7,4008,6
153,3,51,609,16,2549,6
156,3,52,5955,41,3659,6
159,3,53,5811,93,2729,6
162,3,54,4896,60,3072,6
165,3,55,5160,89,3095,6
168,3,56,21,92,2057,6
171,3,57,5016,82,3281,6
174,3,58,4737,99,2976,6
177,3,59,5853,83,3179,6
180,3,60,3348,84,2399,6
183,3,61,4164,4,1980,6
186,3,62,2043,1,1697,6
189,3,63,1176,9,2279,6
192,3,64,5616,59,2183,6
195,3,65,5595,77,3209,6
198,3,66,4014,0,3029,6
201,3,67,1632,60,1955,6
204,3,68,4191,0,2849,6
207,3,69,795,40,3798,6
210,3,70,5694,91,2831,6
213,3,71,4500,39,3264,6
216,3,72,3639,67,1756,6
219,3,73,4977,77,1721,6
222,3,74,4329,2,1727,6
225,3,75,3294,79,3803,6
228,3,76,4596,60,2910,6
