id,prolific_id,study_id,session_id,concent_accepted,demo1,demo2,vaiak,vaiak2,questionnaire
3,5ecd37ee75736a068808fa6c,622b583de6baafcac196edf3,6241bbb00f195637900faa8c,1,"{""rt"":8212,""response"":{""age"":""20"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":54080,""internal_node_id"":""0.0-3.0""}","{""rt"":34552,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":88635,""internal_node_id"":""0.0-4.0""}","{""rt"":29479,""response"":{""VAIAK1"":5,""VAIAK2"":6,""VAIAK3"":2,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":2},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":118118,""internal_node_id"":""0.0-5.0""}","{""rt"":25640,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":5,""2VAIAK4"":1},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":143761,""internal_node_id"":""0.0-6.0""}","{""rt"":2651,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":656714,""internal_node_id"":""0.0-243.0""}"
6,601ef06dec317f3e2f1d48a5,622b583de6baafcac196edf3,6241bbb8ff43d2cee5eb6ea4,1,"{""rt"":7484.3000000007,""response"":{""age"":""19"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":65245,""internal_node_id"":""0.0-3.0""}","{""rt"":7992.9000000004,""response"":{""demo_gender"":""male"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":73240,""internal_node_id"":""0.0-4.0""}","{""rt"":25734,""response"":{""VAIAK1"":4,""VAIAK2"":6,""VAIAK3"":6,""VAIAK4"":6,""VAIAK5"":6,""VAIAK6"":5,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":98979,""internal_node_id"":""0.0-5.0""}","{""rt"":19814.4,""response"":{""2VAIAK1"":0,""2VAIAK2"":0,""2VAIAK3"":5,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":118797,""internal_node_id"":""0.0-6.0""}","{""rt"":1481.6999999993,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":477627,""internal_node_id"":""0.0-243.0""}"
9,615b5f1e0f8fff7384c0e6ee,622b583de6baafcac196edf3,6241bbb40422928c741ecede,1,"{""rt"":27091.5,""response"":{""age"":""39"",""nationality"":""south african""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":123690,""internal_node_id"":""0.0-3.0""}","{""rt"":9761.2000000477,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":133456,""internal_node_id"":""0.0-4.0""}","{""rt"":46984,""response"":{""VAIAK1"":5,""VAIAK2"":5,""VAIAK3"":5,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":0},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":180449,""internal_node_id"":""0.0-5.0""}","{""rt"":45573.099999964,""response"":{""2VAIAK1"":3,""2VAIAK2"":4,""2VAIAK3"":5,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":226030,""internal_node_id"":""0.0-6.0""}","{""rt"":27739.900000036,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":2182978,""internal_node_id"":""0.0-253.0""}"
12,600de197658fd23cca8b3bf1,622b583de6baafcac196edf3,6241bbc58c48d4d90827837f,1,"{""rt"":16467.699999928,""response"":{""age"":""23"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":85235,""internal_node_id"":""0.0-3.0""}","{""rt"":8480.2000000477,""response"":{""demo_gender"":""female"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":93720,""internal_node_id"":""0.0-4.0""}","{""rt"":25068.200000048,""response"":{""VAIAK1"":6,""VAIAK2"":6,""VAIAK3"":5,""VAIAK4"":6,""VAIAK5"":6,""VAIAK6"":6,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":118796,""internal_node_id"":""0.0-5.0""}","{""rt"":33459.399999976,""response"":{""2VAIAK1"":3,""2VAIAK2"":5,""2VAIAK3"":5,""2VAIAK4"":3},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":152262,""internal_node_id"":""0.0-6.0""}","{""rt"":2674.2000000477,""response"":{""imgs_known"":""11-25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":1346101,""internal_node_id"":""0.0-243.0""}"
15,60bbce79ba111569d6d37efb,622b583de6baafcac196edf3,6241bbce9f9d9cf92cb503ac,1,"{""rt"":24872.300000012,""response"":{""age"":""19"",""nationality"":""south african""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":45884,""internal_node_id"":""0.0-3.0""}","{""rt"":11924.699999988,""response"":{""demo_gender"":""female"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":57818,""internal_node_id"":""0.0-4.0""}","{""rt"":29312.300000012,""response"":{""VAIAK1"":6,""VAIAK2"":4,""VAIAK3"":5,""VAIAK4"":4,""VAIAK5"":4,""VAIAK6"":4,""VAIAK7"":4},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":87140,""internal_node_id"":""0.0-5.0""}","{""rt"":26908.599999964,""response"":{""2VAIAK1"":1,""2VAIAK2"":0,""2VAIAK3"":3,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":114056,""internal_node_id"":""0.0-6.0""}",
18,606a24dfb1cca98a23010f9d,622b583de6baafcac196edf3,6241bbd3c2957a9146b6a001,1,"{""rt"":10459.399999999,""response"":{""age"":""39"",""nationality"":""greek""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":85378,""internal_node_id"":""0.0-3.0""}","{""rt"":8035.9000000022,""response"":{""demo_gender"":""female"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":93417,""internal_node_id"":""0.0-4.0""}","{""rt"":41331.800000001,""response"":{""VAIAK1"":5,""VAIAK2"":4,""VAIAK3"":4,""VAIAK4"":5,""VAIAK5"":4,""VAIAK6"":5,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":134755,""internal_node_id"":""0.0-5.0""}","{""rt"":32247,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":4,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":167006,""internal_node_id"":""0.0-6.0""}","{""rt"":2828.8999999985,""response"":{""imgs_known"":""11-25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":1518995,""internal_node_id"":""0.0-243.0""}"
21,60f4156dc3cbefbca9b5b93e,622b583de6baafcac196edf3,6241bbc9dd5a230d219dd9d8,1,"{""rt"":5961.6000001431,""response"":{""age"":""22"",""nationality"":""american""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":14232,""internal_node_id"":""0.0-3.0""}","{""rt"":6162.5,""response"":{""demo_gender"":""female"",""demo_edu"":""secondary education"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":20398,""internal_node_id"":""0.0-4.0""}","{""rt"":27130.799999952,""response"":{""VAIAK1"":6,""VAIAK2"":6,""VAIAK3"":6,""VAIAK4"":6,""VAIAK5"":6,""VAIAK6"":6,""VAIAK7"":5},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":47535,""internal_node_id"":""0.0-5.0""}","{""rt"":9445.3999998569,""response"":{""2VAIAK1"":1,""2VAIAK2"":5,""2VAIAK3"":5,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":56986,""internal_node_id"":""0.0-6.0""}","{""rt"":10692.799999952,""response"":{""imgs_known"":""None""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":1690476,""internal_node_id"":""0.0-253.0""}"
24,606e4dff1e0d70fbc5536f9a,622b583de6baafcac196edf3,6241bbd8c7cab6a11ac133a8,1,"{""rt"":6609.2000000477,""response"":{""age"":""20"",""nationality"":""portuguese""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":54919,""internal_node_id"":""0.0-3.0""}","{""rt"":5770.3000000119,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":60691,""internal_node_id"":""0.0-4.0""}","{""rt"":23651.300000012,""response"":{""VAIAK1"":5,""VAIAK2"":5,""VAIAK3"":1,""VAIAK4"":5,""VAIAK5"":5,""VAIAK6"":5,""VAIAK7"":4},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":84345,""internal_node_id"":""0.0-5.0""}","{""rt"":17444.899999976,""response"":{""2VAIAK1"":2,""2VAIAK2"":2,""2VAIAK3"":5,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":101792,""internal_node_id"":""0.0-6.0""}","{""rt"":2166,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":243,""time_elapsed"":507469,""internal_node_id"":""0.0-243.0""}"
27,61738fcd52222c3e96d6545b,622b583de6baafcac196edf3,6241bbcd8ebd8469f5645571,1,"{""rt"":16261,""response"":{""age"":""38"",""nationality"":""south african""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":112760,""internal_node_id"":""0.0-3.0""}","{""rt"":17211.5,""response"":{""demo_gender"":""male"",""demo_edu"":""Bachelor's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":129975,""internal_node_id"":""0.0-4.0""}","{""rt"":45474.399999976,""response"":{""VAIAK1"":4,""VAIAK2"":4,""VAIAK3"":5,""VAIAK4"":5,""VAIAK5"":4,""VAIAK6"":5,""VAIAK7"":3},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":175455,""internal_node_id"":""0.0-5.0""}","{""rt"":39324.200000048,""response"":{""2VAIAK1"":1,""2VAIAK2"":2,""2VAIAK3"":4,""2VAIAK4"":2},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":214784,""internal_node_id"":""0.0-6.0""}","{""rt"":13372.799999952,""response"":{""imgs_known"":""more than 25""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":2575881,""internal_node_id"":""0.0-253.0""}"
30,5e3efe99b8a613000a60df84,622b583de6baafcac196edf3,6241bbdf07e4f0939141df36,1,"{""rt"":5846.1999999993,""response"":{""age"":""38"",""nationality"":""polish""},""trial_type"":""survey-html-form"",""trial_index"":3,""time_elapsed"":235804,""internal_node_id"":""0.0-3.0""}","{""rt"":4816.6999999993,""response"":{""demo_gender"":""male"",""demo_edu"":""Master's or equivalent"",""demo_colorblind"":""No""},""question_order"":[0,1,2],""trial_type"":""survey-multi-choice"",""trial_index"":4,""time_elapsed"":240622,""internal_node_id"":""0.0-4.0""}","{""rt"":31686.399999999,""response"":{""VAIAK1"":2,""VAIAK2"":1,""VAIAK3"":2,""VAIAK4"":1,""VAIAK5"":1,""VAIAK6"":3,""VAIAK7"":1},""question_order"":[0,1,2,3,4,5,6],""trial_type"":""survey-likert"",""trial_index"":5,""time_elapsed"":272312,""internal_node_id"":""0.0-5.0""}","{""rt"":13328.599999998,""response"":{""2VAIAK1"":2,""2VAIAK2"":0,""2VAIAK3"":0,""2VAIAK4"":0},""question_order"":[0,1,2,3],""trial_type"":""survey-likert"",""trial_index"":6,""time_elapsed"":285643,""internal_node_id"":""0.0-6.0""}","{""rt"":6188.5,""response"":{""imgs_known"":""1-10""},""question_order"":[0],""trial_type"":""survey-multi-choice"",""trial_index"":253,""time_elapsed"":927674,""internal_node_id"":""0.0-253.0""}"
